PredictEd Knowledge Map,Version,11,LTM
der,6476,nähe,kirche,Öffentlichkeit,prozess,fünfseitige,19,16,8,2,1
die,5526,die,anderen,arbeit,protestantische,transoxanischen,23,10,7,2,1
und,4589,die,seine,diether,oelze,kupfererz,201,15,1,1,1
in,3607,der,einer,dem,welcher,seen,751,76,65,2,1
von,2338,helfenstein,beginn,uli,bopfingen,reischelbach,2,1,1,1,1
im,1928,ort,letzten,werk,klassizistischen,mittelschwergewicht,10,3,2,1,1
den,1910,rang,kämpfen,norden,zusammenhang,sitzungsperioden,4,3,2,1,1
das,1659,in,alte,kommando,oktogon,sortiment,7,7,6,1,1
des,1655,hl,heutigen,landtags,shogunats,bürgerlichen,6,5,2,1,1
mit,1622,der,einer,seinen,doppelzwiebel,fondo,189,92,7,1,1
er,1533,als,vom,außerdem,sekretär,ellen,45,3,2,2,1
wurde,1464,der,das,als,auf,es,72,55,20,19,10
als,1364,erster,ministerialen,meisterknecht,erklärungshypothese,anerkennung,12,1,1,1,1
dem,1286,gebiet,weg,ort,ansbachischen,areal,10,6,5,1,1
zu,1266,machen,polen,eröffnen,beraten,promovieren,10,2,1,1,1
auf,1182,dem,die,grund,empfehlung,zu,143,101,11,1,1
ist,1174,ein,die,er,anselm,niemand,99,87,36,1,1
eine,1163,dritte,vogtei,reliquie,schmelzhütte,ausgeprägte,2,1,1,1,1
für,1093,die,seine,ein,entwicklungszusammenarbeit,pressen,267,29,14,1,1
sich,1071,der,eine,selbsten,stouts,vierordt,39,15,1,1,1
ein,1029,neues,als,noviziatshaus,titelträger,interview,7,1,1,1,1
nach,907,dem,ihm,australien,erfüllung,aigues,151,8,3,2,1
an,887,der,den,das,dem,war,230,81,32,14,1
war,811,er,die,klar,weitgehende,resisters,104,36,1,1,1
sie,803,die,an,ihre,nach,während,21,11,4,4,1
auch,764,die,eine,auf,immer,präsident,85,23,12,5,1
aus,751,dem,je,preisausschreiben,palästina,sieben,138,2,1,1,1
am,748,hauptplatz,zusammenfluss,hoftheater,portikus,marsch,1,1,1,1,1
bei,699,den,dem,rabbit,schwäbisch,„blood,76,22,1,1,1
bis,695,in,dahin,er,es,durch,23,13,5,3,1
es,643,in,wurden,vom,erweitert,gezwungen,26,9,2,1,1
einer,583,schlacht,gattung,milliarde,stimmenmehrheit,schweizerischen,1,1,1,1,1
durch,572,die,geeignete,orgelbau,luftangriffe,impfung,137,2,1,1,1
wird,567,die,der,ein,heute,eine,35,30,14,8,7
zum,518,zweiten,ritter,gouverneur,novizenmeister,rennen,5,1,1,1,1
sind,508,in,von,aus,so,eindeutig,22,6,3,1,1
nicht,507,mehr,zur,gerade,verkaufen,realisierten,69,7,1,1,1
werden,504,die,mit,manchmal,französische,giovanni,22,4,1,1,1
einem,448,kleinen,neuen,sehr,verlust,erfolgreichen,4,4,3,1,1
zur,418,genehmigung,schaffung,eigenständigen,einführung,maasprovinz,2,1,1,1,1
über,418,die,eine,ein,einer,gandhi,76,21,10,1,1
um,416,den,das,in,seine,martin,34,25,7,2,1
einen,413,schweren,langen,langzeitaufenthalt,selbständigen,außerordentlich,3,3,1,1,1
wurden,398,die,in,bei,nutzfahrzeuge,zudem,42,18,2,1,1
dass,388,die,der,sich,es,ein,61,23,18,16,10
oder,360,älter,als,ähnliche,missionare,sofortige,6,6,1,1,1
unter,316,dem,wasser,bürgermeister,denkmalschutz,falschem,60,2,2,1,1
jahr,313,wurde,für,ca,erste,erschien,7,4,1,1,1
seine,291,frau,eigene,leistungen,dissertation,tournee,9,2,2,1,1
nur,291,auf,aus,relativ,mittels,bruchstückhafte,9,2,1,1,1
diese,291,fossilien,kampagne,fragen,taten,eifersüchtig,1,1,1,1,1
noch,275,in,für,weiter,zahlreiche,betriebenen,9,6,4,2,1
vor,268,allem,der,und,schluss,sonneneinstrahlung,67,28,10,1,1
zwei,265,kleine,genreprägende,modellschulen,wappen,gegenläufige,4,1,1,1,1
seit,259,dem,der,den,er,mai,37,26,13,2,2
sein,258,sohn,bruder,ganzes,fleisch,geschichtsstudium,9,2,1,1,1
wie,258,bei,sie,uli,fast,bislang,14,9,1,1,1
jahre,258,lang,alt,oder,veröffentlichte,an,13,12,4,1,1
hat,256,eine,man,es,über,diesen,22,5,4,1,1
vom,252,wiedererstarkten,großherzog,modell,deb,internet,1,1,1,1,1
aber,251,auch,eine,im,seit,bei,37,4,2,1,1
seiner,245,familie,heimatstadt,mutter,dissertation,comicwerke,8,5,2,1,1
dieser,240,strecke,funktion,will,fürstenschule,universität,2,2,1,1,1
so,224,ein,weit,genannten,verzeichnet,seine,3,2,1,1,1
hatte,224,er,sie,aber,keith,kleve,25,6,1,1,1
waren,219,unter,zwischen,mehrheitlich,tages,hellbeige,6,4,1,1,1
ab,218,dem,der,august,da,dezember,19,8,3,1,1
ersten,214,weltkriegs,kommission,weltrekord,single,häuser,8,1,1,1,1
zwischen,210,den,wind,gomarus,suzuki,wilkau,28,1,1,1,1
eines,197,neuen,ihrer,extrasolaren,pc,zutiefst,4,2,1,1,1
jahren,193,in,und,der,spielten,nicht,9,6,3,2,1
jedoch,191,in,auf,heute,etwas,wollen,6,3,1,1,1
s,181,und,ihren,auf,haltestelle,verschiedene,2,1,1,1,1
sowie,181,die,als,scott,stellvertretender,am,17,1,1,1,1
wieder,179,aufgelöst,mit,den,von,zur,3,3,3,3,1
man,178,die,für,eine,dafür,paita,13,4,3,1,1
gegen,177,die,atomanlagen,byzanz,masturbation,nachahmung,48,1,1,1,1
kann,173,es,ein,das,der,sie,7,7,5,4,2
geschichte,171,des,am,zu,mehrere,miss,11,4,2,1,1
zeit,170,des,eine,später,üblichen,fündig,8,5,2,1,1
da,170,er,immer,reverse,kommen,silva,21,1,1,1,1
während,167,der,des,einer,ihrer,sich,47,40,4,3,3
ihre,162,karriere,letzten,abgaben,„schwarze,aggressive,4,2,1,1,1
leben,156,und,in,zu,entstammten,erheblich,21,6,2,1,1
etwa,150,zehn,drei,ein,homme,phosgen,3,2,2,1,1
bereits,148,in,eine,der,verschlossenen,bestehender,13,3,2,1,1
mehr,148,in,an,zu,halten,dem,5,3,2,1,1
dort,147,ist,begrabenen,auf,erneut,graben,1,1,1,1,1
drei,146,monate,schlechten,wechselnden,decksteine,runden,2,1,1,1,1
stadt,144,essen,durch,angefertigt,dem,vegesack,2,2,1,1,1
heute,143,noch,als,erhalten,auf,aber,15,9,4,3,1
später,142,in,wurden,am,hinzu,bei,8,4,1,1,1
erste,133,mal,kammer,schritte,bild,album,6,1,1,1,1
seinem,133,tod,vater,verwandten,grundstück,amt,14,5,1,1,1
ihm,133,und,benannt,bei,benannte,benannten,5,4,2,1,1
dabei,131,unter,in,zu,stoffe,leipzig,2,2,1,1,1
seinen,130,kreuzfahrten,auf,chef,platz,schergen,1,1,1,1,1
ihr,129,die,zweites,ein,zimmer,kurt,2,1,1,1,1
beim,127,weltcup,regierungspräsidium,bildstock,tatsächlichen,weiteren,2,1,1,1,1
deutschen,126,marktes,doppelvierer,notenbank,rollsport,korps,1,1,1,1,1
ende,122,des,der,ist,eines,schließt,31,25,2,1,1
zweiten,121,weltkrieg,weltkriegs,mal,deutschen,aufstand,36,6,4,1,1
haben,120,eine,die,nur,anzünden,sollte,10,5,1,1,1
dann,118,zu,den,mit,erwacht,über,4,3,2,1,1
können,117,im,sowohl,hochwasserschutz,diese,obstbäume,2,1,1,1,1
konnte,115,die,aber,mit,dies,wieder,7,3,2,1,1
ihrer,115,kontrakte,universität,existenz,führungskräfte,massiven,1,1,1,1,1
teil,113,der,des,und,eines,davon,22,8,3,2,2
sehr,113,schlechten,großes,ähnlichen,bewegte,kleine,2,1,1,1,1
anderen,110,schiffen,knechte,gebäude,wortformen,standort,2,1,1,1,1
damit,109,der,einen,konfrontieren,häufig,verbundene,3,2,1,1,1
ihn,108,und,papst,darauf,nach,einige,3,3,1,1,1
de,105,la,flore,infos,gaulle,vauban,11,1,1,1,1
gibt,104,es,er,sie,probleme,auskunft,56,4,2,1,1
diesem,103,zeitpunkt,thema,bei,kongress,tag,6,2,2,1,1
januar,103,und,auf,in,beobachten,angriffe,3,1,2,1,1
a,103,personality,chance,b,bis,ring,1,1,1,1,1
dezember,103,ließ,die,desselbigen,beschloss,weiter,1,1,1,1,1
keine,99,informationen,gärten,direkte,neuen,unfallursache,2,1,1,1,1
zurück,98,und,in,nach,bis,erlangen,15,6,4,1,1
jahrhundert,98,und,an,im,setzte,zur,4,2,2,1,1
erst,97,am,später,beim,die,verspätet,9,3,1,1,1
namen,96,auf,this,blues,wat,galyani,2,1,1,1,1
hier,96,die,ist,in,wird,gehörte,4,3,2,2,1
alle,96,anderen,modelle,als,diese,dies,3,2,1,1,1
m,94,und,auf,vergrößert,kam,durchmesser,6,1,1,1,1
