PredictEd Knowledge Map,Version,11,LTM
the,22595,end,original,diversity,book,terms,162,35,9,4,3
of,10904,the,each,biology,life,concepts,3217,71,44,43,4
and,8567,is,include,jane,molnar,gair,142,9,4,1,1
in,6447,meiosis,medicine,part,either,whole,14,7,7,7,2
to,6240,the,learn,cell,biology,copy,1175,15,13,4,3
a,5987,different,part,modified,print,cc,32,23,3,1,1
is,4846,a,�,licensed,administered,using,488,1,1,1,1
that,3513,are,make,more,reside,permits,235,22,7,2,1
are,3264,regulated,open,studied,free,instructional,16,5,3,2,1
by,2129,openstax,reducing,charles,embedding,net,6,4,2,2,1
cells,2099,that,are,can,obtain,come,137,135,22,3,2
as,1864,a,you,long,teaching,printed,247,12,8,1,1
from,1751,the,concepts,biology,�let�s,others,762,4,2,2,1
for,1649,a,each,free,information,questions,107,18,4,2,1
or,1555,in,have,adapt,digital,electronic,11,3,1,1,1
cell,1508,division,cycle,membrane,structure,components,59,49,33,3,1
an,1461,intellectual,instructor,openstax,accessible,initiative,1,1,1,1,1
with,1406,the,their,several,companies,flexibility,305,18,2,1,1
this,1298,is,book,textbook,adaptation,license,139,7,5,3,1
which,1289,may,instructors,for,learners,exhibit,13,1,1,1,1
blood,1233,pressure,vessels,in,type,throughout,84,84,30,19,5
be,1215,easily,possible,customized,rearranged,meaningful,4,4,2,2,1
can,1039,be,build,select,customize,attack,380,1,1,1,1
it,1008,is,to,turns,current,continuing,288,28,2,1,1
into,995,the,a,three,chemical,groups,410,68,14,9,2
body,912,temperature,is,processes,systems,basic,73,25,6,2,2
on,910,the,which,every,existing,edition,426,4,1,1,1
system,890,is,and,disorders,processes,regulation,101,36,5,2,2
have,864,a,been,access,incorporated,inhabited,145,75,2,1,1
figure,797,shows,showing,by,#,#,5,1,1,0,0
one,772,or,cell,non,who,moment,44,11,1,1,1
called,769,organelles,homeostasis,virology,chemotaxis,monomers,2,2,1,1,1
at,729,the,http,cost,most,hand,329,2,1,1,1
other,695,metabolic,mammals,feedback,questions,populations,2,2,1,1,1
two,685,new,atoms,and,look,unique,7,4,1,1,1
energy,664,from,and,for,production,processing,44,25,16,4,3
not,654,be,for,meet,majoring,easy,32,4,2,1,1
they,652,are,can,do,continue,understand,189,39,16,2,1
these,644,reasons,specialized,and,eight,in,4,2,1,1,1
through,619,the,our,special,contributions,localized,296,2,2,1,1
also,583,includes,strive,in,incorporates,considered,4,2,2,1,1
their,570,lives,free,curricula,classes,only,4,1,1,1,1
each,557,cell,chapter,powerpoint,class,course,15,2,2,1,1
when,549,they,viewed,faced,touched,reproduction,23,7,4,1,1
